created_at;comment_id;user_id
5 Январь, 2024, 21:28;40 976;56f04853-9c38-a339-01fc-c5a1a75b9796
5 Январь, 2024, 22:04;40 976;033c94e2-8ffe-fcd1-17a6-2f525fbdf7b1
5 Январь, 2024, 22:36;40 970;ab59cf54-6051-d8bc-a83b-cf41bc709946
5 Январь, 2024, 22:36;40 968;ab59cf54-6051-d8bc-a83b-cf41bc709946
5 Январь, 2024, 22:37;40 958;0919dc7f-d5ad-d84e-2c25-dd10afc9163b
5 Январь, 2024, 23:07;40 970;64dec898-16e1-8eff-ca5a-d15cf4af9712
5 Январь, 2024, 23:07;40 968;64dec898-16e1-8eff-ca5a-d15cf4af9712
5 Январь, 2024, 23:09;40 957;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 23:09;40 976;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 23:09;40 954;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 23:11;40 970;0715d33d-d325-0c25-c41b-d5a4349a4d18
5 Январь, 2024, 23:21;40 918;f7e015c4-22bd-7a87-017f-87261ed2807b
5 Январь, 2024, 23:35;40 975;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 23:35;40 974;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 23:41;40 970;63e44bda-1098-3ae9-c69e-e5220ace30f0
6 Январь, 2024, 07:47;40 985;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
6 Январь, 2024, 10:01;40 985;20f69969-b9ac-072f-ec63-8eb46e52bcc0
6 Январь, 2024, 11:58;40 992;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
6 Январь, 2024, 12:32;40 985;63e44bda-1098-3ae9-c69e-e5220ace30f0
6 Январь, 2024, 12:38;40 958;28c2102c-4bb8-03ad-5130-f9a4a170e7b9
6 Январь, 2024, 14:20;40 958;94f49ed5-43c0-bd7b-51fe-cc3a6d573cc4
6 Январь, 2024, 15:25;40 996;0f503f3d-23cf-a402-a482-8defdc1939eb
6 Январь, 2024, 16:31;40 976;14f86d53-2d1a-00f8-d049-717cbef16d7f
6 Январь, 2024, 21:36;41 000;20f69969-b9ac-072f-ec63-8eb46e52bcc0
6 Январь, 2024, 21:53;40 998;c76001b4-6275-0d01-1d30-d1eed90892ae
7 Январь, 2024, 00:15;40 999;829887a6-a6a5-6ef2-6f63-90f687231115
7 Январь, 2024, 00:55;40 958;be6c2386-7031-8a3b-f028-cce0ea537d17
7 Январь, 2024, 01:32;40 999;871fc23e-2e0c-0c41-a0ba-fa6909e6f84f
